run,type,module,name,attrname,attrvalue,value
General-6-20210504-14:42:21-3789,param,,,**.mediumLimitCache.carrierFrequency,868MHz,
General-6-20210504-14:42:21-3789,param,,,**.radio.carrierFrequency,868MHz,
General-6-20210504-14:42:21-3789,param,,,**.OpalLoRaRadioMedium.loadMeshesFromFile,true,
General-6-20210504-14:42:21-3789,param,,,**.OpalLoRaRadioMedium.useDecimalDegreeDelta,true,
General-6-20210504-14:42:21-3789,param,,,**.OpalLoRaRadioMedium.meshesPath,"""meshes_cartagena""",
General-6-20210504-14:42:21-3789,param,,,**.OpalLoRaRadioMedium.receptionRadius,2m,
General-6-20210504-14:42:21-3789,param,,,**.OpalLoRaRadioMedium.maxNumberOfReflections,30,
General-6-20210504-14:42:21-3789,param,,,**.OpalLoRaRadioMedium.pathLoss.typename,"""TwoRayInterference""",
General-6-20210504-14:42:21-3789,param,,,**.OpalLoRaRadioMedium.meshesFileList,"""/home/anrunie/Documentos/GIRTEL/LoRa-INET-AI1/inet/simulations/meshes_cartagena_new/meshes/names.txt""",
General-6-20210504-14:42:21-3789,param,,,**.OpalLoRaRadioMedium.isStatic,true,
General-16-20210504-14:43:12-3938,runattr,,,configname,General,
General-16-20210504-14:43:12-3938,runattr,,,datetime,20210504-14:43:12,
General-16-20210504-14:43:12-3938,runattr,,,experiment,General,
General-16-20210504-14:43:12-3938,runattr,,,inifile,loRaNetworkCartagenaOPAL-SINTOPOGRAFIA.ini,
General-16-20210504-14:43:12-3938,runattr,,,iterationvars,"$0=""avg""",
General-16-20210504-14:43:12-3938,runattr,,,iterationvarsf,avg-,
General-16-20210504-14:43:12-3938,runattr,,,measurement,"$0=""avg""",
General-16-20210504-14:43:12-3938,runattr,,,network,CartagenaOPAL,
General-16-20210504-14:43:12-3938,runattr,,,processid,3938,
General-16-20210504-14:43:12-3938,runattr,,,repetition,16,
General-16-20210504-14:43:12-3938,runattr,,,replication,#16,
General-16-20210504-14:43:12-3938,runattr,,,resultdir,results,
General-16-20210504-14:43:12-3938,runattr,,,runnumber,16,
General-16-20210504-14:43:12-3938,runattr,,,seedset,16,
General-16-20210504-14:43:12-3938,param,,,**.numberOfGateways,15,
General-16-20210504-14:43:12-3938,param,,,**.loRaGW[*].numUdpApps,1,
General-16-20210504-14:43:12-3938,param,,,**.loRaGW[*].packetForwarder.localPort,2000,
General-16-20210504-14:43:12-3938,param,,,**.loRaGW[*].packetForwarder.destPort,1000,
General-16-20210504-14:43:12-3938,param,,,**.loRaGW[*].packetForwarder.destAddresses,"""networkServer""",
General-16-20210504-14:43:12-3938,param,,,**.loRaGW[*].packetForwarder.indexNumber,0,
General-16-20210504-14:43:12-3938,param,,,**.loRaGW[*].receptionRadius,1,
General-16-20210504-14:43:12-3938,param,,,**.LoRaGWNic.radio.iAmGateway,true,
General-16-20210504-14:43:12-3938,param,,,**.loRaGW[*].**.initFromDisplayString,false,
General-16-20210504-14:43:12-3938,param,,,**.loRaGW[0].**.initialX,"1583.34m + uniform(-0.30m,0.30m)",
General-16-20210504-14:43:12-3938,param,,,**.loRaGW[0].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-16-20210504-14:43:12-3938,param,,,**.loRaGW[0].**.initialZ,"644.60m + uniform(-0.30m,0.30m)",
General-16-20210504-14:43:12-3938,param,,,**.loRaGW[1].**.initialX,"1607.25m  + uniform(-0.30m,0.30m)",
General-16-20210504-14:43:12-3938,param,,,**.loRaGW[1].**.initialY,"0.8m + uniform(-0.30m,0.30m)",
General-16-20210504-14:43:12-3938,param,,,**.loRaGW[1].**.initialZ,"653.4m + uniform(-0.30m,0.30m)",
General-16-20210504-14:43:12-3938,param,,,**.loRaGW[2].**.initialX,"1618.5m + uniform(-0.30m,0.30m)",
